TIME	ALTITUDE	ORIENTATION_X	ORIENTATION_Y	ORIENTATION_Z	ANGVELOCITY_X	ANGVELOCITY_Y	ANGVELOCITY_Z	LINEARACCEL_X	LINEARACCEL_Y	LINEARACCEL_Z	MAGNETOMETER_X	MAGNETOMETER_Y	MAGNETOMETER_Z	ACCELEROMETER_X	ACCELEROMETER_Y	ACCELEROMETER_Z	GRAVITY_X	GRAVITY_Y	GRAVITY_Z	
4046610 5.79	39.06	86.31	1.44	0.01	-0.00	-0.00	0.02	-0.05	0.00	-44.88	19.88	2.75	9.80	-0.30	0.57	9.78	-0.25	0.57	
4046690 5.73	39.06	86.31	1.44	0.01	0.00	-0.00	0.01	0.04	0.02	-45.56	19.88	1.88	9.80	-0.21	0.59	9.78	-0.25	0.57	
4046766 5.71	39.06	86.31	1.44	-0.00	0.00	-0.00	0.04	-0.01	0.01	-45.25	20.69	2.75	9.82	-0.26	0.58	9.78	-0.25	0.57	
4046844 5.70	39.06	86.31	1.44	0.00	-0.00	-0.00	0.02	0.05	0.12	-44.50	20.69	1.88	9.83	-0.32	0.58	9.78	-0.25	0.57	
4046922 5.68	39.06	86.31	1.44	-0.01	0.00	0.00	0.04	-0.09	0.05	-44.50	20.69	2.38	9.84	-0.32	0.59	9.78	-0.25	0.57	
4047002 5.65	39.06	86.31	1.44	0.01	-0.00	0.00	0.04	0.02	-0.08	-44.88	19.88	2.75	9.83	-0.22	0.63	9.78	-0.25	0.57	
4047081 5.63	39.06	86.31	1.44	0.00	0.00	-0.00	0.05	-0.03	-0.15	-44.50	20.69	1.88	9.83	-0.28	0.41	9.78	-0.25	0.57	
4047161 5.64	39.06	86.31	1.44	0.00	-0.00	-0.00	0.04	0.00	-0.03	-44.88	19.88	3.19	9.83	-0.25	0.53	9.78	-0.25	0.57	
4047241 5.63	39.06	86.31	1.44	0.01	-0.00	-0.00	0.04	-0.01	-0.03	-45.25	19.88	2.75	9.83	-0.26	0.53	9.78	-0.25	0.57	
4047318 5.64	39.00	86.31	1.44	-0.00	0.00	0.00	0.04	-0.01	-0.09	-44.50	20.25	3.56	9.82	-0.26	0.47	9.78	-0.25	0.57	
4047395 5.69	39.00	86.31	1.44	0.01	-0.00	-0.00	0.03	0.10	-0.01	-45.25	20.25	3.56	9.82	-0.14	0.57	9.78	-0.25	0.57	
4047473 5.64	39.00	86.31	1.44	0.00	-0.00	0.00	0.03	0.03	-0.07	-43.75	19.88	3.19	9.81	-0.21	0.58	9.78	-0.25	0.57	
4047553 5.62	39.00	86.31	1.44	0.01	0.00	-0.00	0.04	-0.01	0.00	-43.75	20.69	3.19	9.82	-0.19	0.54	9.78	-0.25	0.57	
4047633 5.56	39.00	86.31	1.44	0.00	-0.00	-0.00	0.05	-0.08	-0.06	-44.88	20.25	1.88	9.84	-0.33	0.51	9.78	-0.25	0.57	
4047713 5.51	39.00	86.31	1.44	-0.01	0.00	-0.00	0.05	-0.05	-0.04	-44.06	20.69	2.75	9.83	-0.30	0.52	9.78	-0.25	0.57	
4047793 5.51	39.00	86.31	1.44	0.00	-0.00	-0.00	0.04	0.05	-0.01	-44.06	20.69	2.75	9.82	-0.20	0.55	9.78	-0.25	0.57	
4047869 5.63	39.00	86.31	1.44	-0.00	0.00	0.00	0.06	0.02	0.00	-44.88	19.88	2.75	9.84	-0.22	0.57	9.78	-0.25	0.57	
4047947 5.72	39.00	86.31	1.44	-0.00	0.00	0.00	0.05	-0.02	0.00	-44.50	21.06	2.75	9.82	-0.17	0.61	9.78	-0.25	0.57	
4048025 5.83	39.00	86.31	1.44	-0.00	0.00	0.00	0.03	-0.06	-0.01	-44.88	20.25	3.19	9.82	-0.33	0.57	9.78	-0.25	0.57	
4048105 5.86	39.00	86.31	1.44	-0.01	-0.00	0.00	0.04	-0.13	-0.03	-45.25	20.25	3.19	9.84	-0.35	0.55	9.78	-0.25	0.57	
4048184 5.88	39.00	86.31	1.44	0.01	0.00	-0.00	0.03	0.06	-0.04	-44.50	20.25	1.88	9.82	-0.25	0.57	9.78	-0.25	0.57	
4048264 5.85	39.00	86.31	1.44	-0.00	0.00	-0.00	0.03	0.04	0.01	-44.50	19.88	2.38	9.84	-0.29	0.61	9.78	-0.25	0.57	
4048344 5.81	39.00	86.31	1.44	0.01	0.00	0.00	0.04	0.05	0.03	-44.50	20.25	2.75	9.82	-0.20	0.60	9.78	-0.25	0.57	
4048421 5.73	39.00	86.31	1.44	-0.00	0.00	0.00	0.03	-0.02	0.07	-45.25	21.06	2.25	9.82	-0.27	0.64	9.78	-0.25	0.57	
4048499 5.75	39.00	86.31	1.44	-0.01	-0.00	0.00	0.05	-0.10	0.09	-44.06	20.25	3.19	9.84	-0.35	0.66	9.78	-0.25	0.57	
4048577 5.77	39.00	86.31	1.44	-0.01	-0.00	0.00	0.03	-0.04	0.03	-44.88	20.69	1.50	9.81	-0.33	0.64	9.78	-0.25	0.57	
4048656 5.75	39.00	86.31	1.44	-0.00	0.00	-0.00	0.03	-0.02	0.01	-43.75	20.69	3.19	9.80	-0.30	0.58	9.78	-0.25	0.57	
4048736 5.67	39.00	86.31	1.44	0.00	0.00	-0.00	0.05	0.08	-0.05	-43.75	19.88	1.88	9.81	-0.22	0.60	9.78	-0.25	0.57	
4048816 5.72	39.00	86.31	1.44	-0.00	0.00	-0.00	0.03	-0.02	0.01	-44.50	20.25	4.00	9.81	-0.19	0.58	9.78	-0.25	0.57	
4048896 5.70	39.00	86.31	1.44	-0.00	0.00	0.00	0.04	-0.09	0.04	-44.06	19.88	1.88	9.83	-0.34	0.61	9.78	-0.25	0.57	
4048974 5.63	39.00	86.31	1.44	-0.00	-0.00	0.00	0.06	-0.05	0.04	-44.50	20.69	3.19	9.85	-0.30	0.62	9.78	-0.25	0.57	
4049054 5.62	39.00	86.31	1.44	-0.01	-0.01	0.00	0.05	0.00	-0.01	-44.88	20.69	1.88	9.83	-0.25	0.55	9.78	-0.25	0.57	
4049132 5.62	39.00	86.31	1.44	-0.01	-0.00	0.00	0.02	-0.03	-0.06	-44.50	20.69	2.25	9.81	-0.29	0.50	9.78	-0.25	0.57	
